Symbol|Security Name|Market Category|Status|Test Issue
AAAIF|Alternative Investment Trust Units (Austrailia)|NBB||
AAALF|Aareal Bank AG AKT|NBB||
AAALY|Aareal Bank AG Unsponsored American Depository Receipt (Germany)|NBB||
AAARF|Aluar Aluminio Argentino Sa Alua Ordinary Shares 1 Vote (Argentina)|NBB||
AABB|Asia Broadband Inc Common Stock|NBB||
AABGF|Agrana Beteiligungs Ag Ordinary Shares (Austria)|NBB||
AABNF|Altin Ag Baar Namen-AKT|NBB||
AABVF|Aberdeen International Inc Ordinary Shares|NBB||
AACAF|AAC Technologies Holdings Inc Ordinary Shares (Cayman Islands)|NBB||
AACAY|AAC Technologies Holdings Inc Unsponsored ADR (Cayman Islands)|NBB||
AACEY|Asia Cement (China) Holdings Corp. Unsponsored ADR (Cayman Islands)|NBB||
AACMZ|Asia Cement Corp Global Depositary Receipts 144A (Taiwan)|NBB||
AACS|American Commerce Solutions, Inc. Common Stock|NBB||
AACTF|ACT Aurora CTL Technologies Corp Common Shares (Canada)|NBB||
AADG|Asian Dragon Group, Inc. Common Stock|NBB||
AAEEF|Altair Gold, Inc. Ordinary Shares (Canada)|NBB||
AAEH|All American Energy Holding, Inc. Common Stock|NBB||
AAGC|All American Gold Corp. Common Stock|NBB||
AAGIY|AIA Group, Ltd. Sponsored American Depository Receipt (Hong Kong)|NBB||
AAGLY|Aurora Oil & Gas Ltd Unsponsored ADR (Australia)|NBB||
AAGRY|Astra Agro Lestari TBK PT Unsponsored ADR (Indonesia)|NBB||
AAHTF|Aapico Hitech Public Company Limited Shares Foreign Registered (Thailand)|NBB||
AAIDY|Aalberts Industries N.V. American Depositary Share (Netherlands)|NBB||
AAIGF|AIA Group, Ltd. Ordinary Shares (Hong Kong)|NBB||
AAIIQ|Alabama Aircraft Industries, Inc. Common Stock|NBB||
AAINF|Asiabasemetals Inc Common Shares (Canada)|NBB||
AAIR|Avantair, Inc. Common Stock|NBB||
AALBF|Aalberts Industries NV Ordinary Shares (Netherlands)|NBB||
AALQL|All-American Latina Logistica S.A. 144A GDR Unit (Brazil)|NBB||
AALTF|All America Latina Logistica SA Ordinary Shares (Brazil)|NBB||
AALYF|Agrinos As, Lysaker Shs (Norway)|NBB||
AAMAF|Atlas Mara Co Nvest Ltd. Ordinary Shares (Virgin Islands British)|NBB||
AAMGF|AMAG Austria Metall AG Ordinary Shares (Austria)|NBB||
AAMGY|AMAG Austria Metall AG Unsponsored ADR (Austria)|NBB||
AAMTF|Armada Mercantile Ltd Ordinary Shares|NBB||
AANCY|Alliance & Leichester Plc Unsponsored ADR (UK)|NBB||
AANOF|Asciano Ltd. Ordinary Shares (Australia)|NBB||
AAPH|American Petro-Hunter, Inc. Common Stock|NBB||
AAPJ|AAP, Inc. Common Stock|NBB||
AAPT|All American Pet Company, Inc. Common Stock|NBB||
AARHY|Aarhuskarlshamn AB American Depositary Receipt (Unsponsored)(Sweden)|NBB||
AASL|America's Suppliers, Inc. Common Stock|NBB||
AASP|All-American SportPark, Inc. Common Stock|NBB||
AAST|Allied American Steel Corp. Common Stock|NBB||
AASUF|Asatsu Dk Inc Ord Ordinary Shares|NBB||
AATGF|ATI Airtest Technologies Inc Ordinary Shares|NBB||
AATRL|AMG Capital  Trust II 5.15% Convertible Trust Preferred Securities, Expiring 10/15/2037|NBB||
AATV|Adaptive Ad Systems, Inc. NEW Common Stock|NBB||
AAUJF|AndeanGold Ltd Common (Canada)|NBB||
AAUKF|Anglo American plc Ordinary Shares (United Kingdom)|NBB||
AAUKY|Anglo American plc American Depositary Shares|NBB||
AAVGD|Spotlight Capital Holdings, Inc.  Common Stock|NBB||
AAXT|Aamaxan Transport Group, Inc. Common Stock|NBB||
AAYYY|Austrailian Agricultural Company Ltd Unsponsored ADR (Austrailia)|NBB||
ABAKF|ABERDEEN ASIA-PACIFIC INCOME Ordinary Shares|NBB||
ABASF|Aberdeen Asian Smaller Company Investment Trust PLC Ordinary Shares|NBB||
ABAT|Advanced Battery Technologies, Inc. Common Stock|NBB||
ABBAF|Aberdeen Asian Income Fund Ordinary Shares (Jersey)|NBB||
ABBB|Auburn Bancorp, Inc. Common Stock|BB|ACTIVE|
ABBY|Abby, Inc  Common Stock|NBB||
ABCAF|Athabasca Minerals Inc Common Shares (Canada)|NBB||
ABCE|ABCO Energy, Inc. (NEW) Common Stock|NBB||
ABCFF|Abacus Mining & Exploration Corporation Ordinary Shares New (Canada)|NBB||
ABCP|AmBase Corporation Common Stock|NBB||
ABCR|ABC Records Management and Data Storage Inc Common Stock|NBB||
ABCXF|Asia Bio-Chem Group Corporation Ordinary Shares (Canada)|NBB||
ABCZF|Abcam PLC Ordinary Shares (United Kingdom)|NBB||
ABCZY|Abcam PLC Unsponsored ADR (United Kingdom)|NBB||
ABDNF|Aberdeen Asset Management Plc Uk Ordinary Shares|NBB||
ABDNY|Aberdeen Asset Management PLC Unsponsored ADR (United Kingdom)|NBB||
ABDR|Ambassador Food Services Corporation New Common Stock|NBB||
ABDTF|Aberdeen New Dawn Inv Trust PLC Ord Shares|NBB||
ABEC|Analytica Bio-Energy Corp. Common Stock|NBB||
ABEOF|Aberdeen Smaller Companies High Income Trust PLC Ordinary Shares (United Kingdom)|NBB||
ABEPF|ABE Resources, Inc. Ordinary Shares (Canada)|NBB||
ABETF|Abenteuer Res Corp Common (Canada)|NBB||
ABFOF|Abertis Infraestructuras SA Ordinary Shares (Spain)|NBB||
ABFXF|ABF Pan Asia Bond Index Fund Units (Singapore)|NBB||
ABGLF|African Barrick Gold Ltd., London Foreign Ordinary Shares|NBB||
ABGLY|African Barrick Gold Ltd., London Unsponsored American Depository Receipt REPSTG 2 SHS (United Kingdom)|NBB||
